fn,repeat,power_J,W_baseline,duration_s
vessel,3,160.13068764765603,2.66882936406823,60.000346895
multiclass,3,160.59592057810787,2.676562135295605,60.000819133
multiclass,2,159.891308096311,2.66482766580611,60.000618482
wildfire,3,158.511902518908,2.6418588405263885,60.000140843
vessel,1,158.86708995756044,2.647755440687187,60.000666042
noop,1,159.81365262410284,2.6635593374866913,60.000034680999995
class,2,157.56562813838977,2.6260681699991415,60.000585643
noop,3,160.57714006471903,2.6762393431573868,60.001038575
wildfire,2,158.68812117850615,2.6447802793274744,60.000493205000005
vessel,2,159.77186245179104,2.662860437068599,60.000088712
segment,3,160.14556550561798,2.669088172444153,60.000103091
noop,2,159.15973976606395,2.6526573069814763,60.000113602
class,3,159.82140200203312,2.6636488328905603,60.000928061
segment,2,158.85269439706988,2.647536693517752,60.00018613
class,1,159.42253211662432,2.6569968829206885,60.001023389000004
wildfire,1,159.27079879639385,2.65449883780441,60.000327191000004
multiclass,1,159.77510988489277,2.662915547659883,60.000066478
segment,1,159.1808427721631,2.65296944956519,60.001008605
