t_ms,lat,lon,alt,is_sunlit
0,-26.574,158.235,484.257,1
400,-26.599,158.229,484.263,1
800,-26.625,158.223,484.269,1
1200,-26.65,158.218,484.276,1
1600,-26.675,158.212,484.282,1
2000,-26.7,158.206,484.288,1
2400,-26.726,158.2,484.294,1
2800,-26.751,158.195,484.301,1
3200,-26.776,158.189,484.307,1
3600,-26.802,158.183,484.313,1
4000,-26.827,158.177,484.319,1
4400,-26.852,158.172,484.326,1
4800,-26.878,158.166,484.332,1
5200,-26.903,158.16,484.338,1
5600,-26.928,158.154,484.344,1
6000,-26.953,158.149,484.351,1
6400,-26.979,158.143,484.357,1
6800,-27.004,158.137,484.363,1
7200,-27.029,158.131,484.369,1
7600,-27.055,158.126,484.376,1
8000,-27.08,158.12,484.382,1
8400,-27.105,158.114,484.388,1
8800,-27.13,158.108,484.395,1
9200,-27.156,158.102,484.401,1
9600,-27.181,158.097,484.407,1
10000,-27.206,158.091,484.413,1
10400,-27.232,158.085,484.42,1
10800,-27.257,158.079,484.426,1
11200,-27.282,158.074,484.432,1
11600,-27.308,158.068,484.439,1
12000,-27.333,158.062,484.445,1
12400,-27.358,158.056,484.451,1
12800,-27.383,158.05,484.458,1
13200,-27.409,158.045,484.464,1
13600,-27.434,158.039,484.47,1
14000,-27.459,158.033,484.477,1
14400,-27.485,158.027,484.483,1
14800,-27.51,158.021,484.489,1
15200,-27.535,158.016,484.496,1
15600,-27.56,158.01,484.502,1
16000,-27.586,158.004,484.508,1
16400,-27.611,157.998,484.515,1
16800,-27.636,157.992,484.521,1
17200,-27.662,157.986,484.527,1
17600,-27.687,157.981,484.534,1
18000,-27.712,157.975,484.54,1
18400,-27.737,157.969,484.546,1
18800,-27.763,157.963,484.553,1
19200,-27.788,157.957,484.559,1
19600,-27.813,157.951,484.566,1
20000,-27.839,157.946,484.572,1
20400,-27.864,157.94,484.578,1
20800,-27.889,157.934,484.585,1
21200,-27.914,157.928,484.591,1
21600,-27.94,157.922,484.597,1
22000,-27.965,157.916,484.604,1
22400,-27.99,157.911,484.61,1
22800,-28.016,157.905,484.617,1
23200,-28.041,157.899,484.623,1
23600,-28.066,157.893,484.629,1
24000,-28.091,157.887,484.636,1
24400,-28.117,157.881,484.642,1
24800,-28.142,157.876,484.649,1
25200,-28.167,157.87,484.655,1
25600,-28.193,157.864,484.661,1
26000,-28.218,157.858,484.668,1
26400,-28.243,157.852,484.674,1
26800,-28.268,157.846,484.681,1
27200,-28.294,157.84,484.687,1
27600,-28.319,157.834,484.693,1
28000,-28.344,157.829,484.7,1
28400,-28.37,157.823,484.706,1
28800,-28.395,157.817,484.713,1
29200,-28.42,157.811,484.719,1
29600,-28.445,157.805,484.726,1
30000,-28.471,157.799,484.732,1
30400,-28.496,157.793,484.739,1
30800,-28.521,157.787,484.745,1
31200,-28.547,157.782,484.751,1
31600,-28.572,157.776,484.758,1
32000,-28.597,157.77,484.764,1
32400,-28.622,157.764,484.771,1
32800,-28.648,157.758,484.777,1
33200,-28.673,157.752,484.784,1
33600,-28.698,157.746,484.79,1
34000,-28.724,157.74,484.797,1
34400,-28.749,157.734,484.803,1
34800,-28.774,157.728,484.81,1
35200,-28.799,157.723,484.816,1
35600,-28.825,157.717,484.823,1
36000,-28.85,157.711,484.829,1
36400,-28.875,157.705,484.835,1
36800,-28.9,157.699,484.842,1
37200,-28.926,157.693,484.848,1
37600,-28.951,157.687,484.855,1
38000,-28.976,157.681,484.861,1
38400,-29.002,157.675,484.868,1
38800,-29.027,157.669,484.874,1
39200,-29.052,157.663,484.881,1
39600,-29.077,157.657,484.887,1
40000,-29.103,157.652,484.894,1
40400,-29.128,157.646,484.9,1
40800,-29.153,157.64,484.907,1
41200,-29.179,157.634,484.913,1
41600,-29.204,157.628,484.92,1
42000,-29.229,157.622,484.926,1
42400,-29.254,157.616,484.933,1
42800,-29.28,157.61,484.94,1
43200,-29.305,157.604,484.946,1
43600,-29.33,157.598,484.953,1
44000,-29.355,157.592,484.959,1
44400,-29.381,157.586,484.966,1
44800,-29.406,157.58,484.972,1
45200,-29.431,157.574,484.979,1
45600,-29.457,157.568,484.985,1
46000,-29.482,157.562,484.992,1
46400,-29.507,157.556,484.998,1
46800,-29.532,157.55,485.005,1
47200,-29.558,157.544,485.011,1
47600,-29.583,157.538,485.018,1
48000,-29.608,157.532,485.025,1
48400,-29.633,157.526,485.031,1
48800,-29.659,157.52,485.038,1
49200,-29.684,157.514,485.044,1
49600,-29.709,157.509,485.051,1
50000,-29.734,157.503,485.057,1
50400,-29.76,157.497,485.064,1
50800,-29.785,157.491,485.071,1
51200,-29.81,157.485,485.077,1
51600,-29.836,157.479,485.084,1
52000,-29.861,157.473,485.09,1
52400,-29.886,157.467,485.097,1
52800,-29.911,157.461,485.103,1
53200,-29.937,157.455,485.11,1
53600,-29.962,157.449,485.117,1
54000,-29.987,157.443,485.123,1
54400,-30.012,157.437,485.13,1
54800,-30.038,157.431,485.136,1
55200,-30.063,157.425,485.143,1
55600,-30.088,157.419,485.15,1
56000,-30.113,157.412,485.156,1
56400,-30.139,157.406,485.163,1
56800,-30.164,157.4,485.169,1
57200,-30.189,157.394,485.176,1
57600,-30.215,157.388,485.183,1
58000,-30.24,157.382,485.189,1
58400,-30.265,157.376,485.196,1
58800,-30.29,157.37,485.202,1
59200,-30.316,157.364,485.209,1
59600,-30.341,157.358,485.216,1
60000,-30.366,157.352,485.222,1
60400,-30.391,157.346,485.229,1
60800,-30.417,157.34,485.236,1
61200,-30.442,157.334,485.242,1
61600,-30.467,157.328,485.249,1
62000,-30.492,157.322,485.255,1
62400,-30.518,157.316,485.262,1
62800,-30.543,157.31,485.269,1
63200,-30.568,157.304,485.275,1
63600,-30.593,157.298,485.282,1
64000,-30.619,157.292,485.289,1
64400,-30.644,157.286,485.295,1
64800,-30.669,157.28,485.302,1
65200,-30.694,157.273,485.309,1
65600,-30.72,157.267,485.315,1
66000,-30.745,157.261,485.322,1
66400,-30.77,157.255,485.329,1
66800,-30.795,157.249,485.335,1
67200,-30.821,157.243,485.342,1
67600,-30.846,157.237,485.349,1
68000,-30.871,157.231,485.355,1
68400,-30.897,157.225,485.362,1
68800,-30.922,157.219,485.369,1
69200,-30.947,157.213,485.375,1
69600,-30.972,157.207,485.382,1
70000,-30.998,157.2,485.389,1
70400,-31.023,157.194,485.395,1
70800,-31.048,157.188,485.402,1
71200,-31.073,157.182,485.409,1
71600,-31.099,157.176,485.415,1
72000,-31.124,157.17,485.422,1
72400,-31.149,157.164,485.429,1
