t_ms,lon,lat,alt
0,158.235,-26.574,484.257
400,158.229,-26.599,484.263
800,158.223,-26.625,484.269
1200,158.218,-26.65,484.276
1600,158.212,-26.675,484.282
2000,158.206,-26.7,484.288
2400,158.2,-26.726,484.294
2800,158.195,-26.751,484.301
3200,158.189,-26.776,484.307
3600,158.183,-26.802,484.313
4000,158.177,-26.827,484.319
4400,158.172,-26.852,484.326
4800,158.166,-26.878,484.332
5200,158.16,-26.903,484.338
5600,158.154,-26.928,484.344
6000,158.149,-26.953,484.351
6400,158.143,-26.979,484.357
6800,158.137,-27.004,484.363
7200,158.131,-27.029,484.369
7600,158.126,-27.055,484.376
8000,158.12,-27.08,484.382
8400,158.114,-27.105,484.388
8800,158.108,-27.13,484.395
9200,158.102,-27.156,484.401
9600,158.097,-27.181,484.407
10000,158.091,-27.206,484.413
10400,158.085,-27.232,484.42
10800,158.079,-27.257,484.426
11200,158.074,-27.282,484.432
11600,158.068,-27.308,484.439
12000,158.062,-27.333,484.445
12400,158.056,-27.358,484.451
12800,158.05,-27.383,484.458
13200,158.045,-27.409,484.464
13600,158.039,-27.434,484.47
14000,158.033,-27.459,484.477
14400,158.027,-27.485,484.483
14800,158.021,-27.51,484.489
15200,158.016,-27.535,484.496
15600,158.01,-27.56,484.502
16000,158.004,-27.586,484.508
16400,157.998,-27.611,484.515
16800,157.992,-27.636,484.521
17200,157.986,-27.662,484.527
17600,157.981,-27.687,484.534
18000,157.975,-27.712,484.54
18400,157.969,-27.737,484.546
18800,157.963,-27.763,484.553
19200,157.957,-27.788,484.559
19600,157.951,-27.813,484.566
20000,157.946,-27.839,484.572
20400,157.94,-27.864,484.578
20800,157.934,-27.889,484.585
21200,157.928,-27.914,484.591
21600,157.922,-27.94,484.597
22000,157.916,-27.965,484.604
22400,157.911,-27.99,484.61
22800,157.905,-28.016,484.617
23200,157.899,-28.041,484.623
23600,157.893,-28.066,484.629
24000,157.887,-28.091,484.636
24400,157.881,-28.117,484.642
24800,157.876,-28.142,484.649
25200,157.87,-28.167,484.655
25600,157.864,-28.193,484.661
26000,157.858,-28.218,484.668
26400,157.852,-28.243,484.674
26800,157.846,-28.268,484.681
27200,157.84,-28.294,484.687
27600,157.834,-28.319,484.693
28000,157.829,-28.344,484.7
28400,157.823,-28.37,484.706
28800,157.817,-28.395,484.713
29200,157.811,-28.42,484.719
29600,157.805,-28.445,484.726
30000,157.799,-28.471,484.732
30400,157.793,-28.496,484.739
30800,157.787,-28.521,484.745
31200,157.782,-28.547,484.751
31600,157.776,-28.572,484.758
32000,157.77,-28.597,484.764
32400,157.764,-28.622,484.771
32800,157.758,-28.648,484.777
33200,157.752,-28.673,484.784
33600,157.746,-28.698,484.79
34000,157.74,-28.724,484.797
34400,157.734,-28.749,484.803
34800,157.728,-28.774,484.81
35200,157.723,-28.799,484.816
35600,157.717,-28.825,484.823
36000,157.711,-28.85,484.829
36400,157.705,-28.875,484.835
36800,157.699,-28.9,484.842
37200,157.693,-28.926,484.848
37600,157.687,-28.951,484.855
38000,157.681,-28.976,484.861
38400,157.675,-29.002,484.868
38800,157.669,-29.027,484.874
39200,157.663,-29.052,484.881
39600,157.657,-29.077,484.887
40000,157.652,-29.103,484.894
40400,157.646,-29.128,484.9
40800,157.64,-29.153,484.907
41200,157.634,-29.179,484.913
41600,157.628,-29.204,484.92
42000,157.622,-29.229,484.926
42400,157.616,-29.254,484.933
42800,157.61,-29.28,484.94
43200,157.604,-29.305,484.946
43600,157.598,-29.33,484.953
44000,157.592,-29.355,484.959
44400,157.586,-29.381,484.966
44800,157.58,-29.406,484.972
45200,157.574,-29.431,484.979
45600,157.568,-29.457,484.985
46000,157.562,-29.482,484.992
